i,j,"H(i, j)"
1,1,-16178736517.719568
1,2,16178736517.719568
1,85,8089368258.859784
1,86,8089368258.859784
2,1,16178736517.719568
2,2,-32357473035.439137
2,3,16178736517.719568
2,85,-8089368258.859784
2,87,8089368258.859784
3,2,32857761465.600513
3,3,-49036497983.32008
3,4,16178736517.719568
3,86,-16428880732.800257
3,87,-8339512473.940474
3,88,8089368258.859784
4,3,18181896681.815723
4,4,-34360633199.53529
4,5,16178736517.719568
4,87,-9090948340.907862
4,88,-1001580082.0480778
4,89,8089368258.859784
5,4,17561531606.54853
5,5,-33740268124.2681
5,6,16178736517.719568
5,88,-8780765803.274265
5,89,-691397544.4144814
5,90,8089368258.859784
6,5,17829109601.60601
6,6,-34007846119.32558
6,7,16178736517.719568
6,89,-8914554800.803005
6,90,-825186541.9432205
6,91,8089368258.859784
7,6,17295284313.654232
7,7,-33474020831.373806
7,8,16178736517.719568
7,90,-8647642156.827116
7,91,-558273897.9673331
7,92,8089368258.859784
8,7,17566936247.831516
8,8,-33745672765.551083
8,9,16178736517.719568
8,91,-8783468123.915758
8,92,-694099865.0559733
8,93,8089368258.859784
9,8,17333211614.844498
9,9,-33511948132.56407
9,10,16178736517.719568
9,92,-8666605807.422249
9,93,-577237548.5624659
9,94,8089368258.859784
10,9,16667702339.651497
10,10,-32846438857.371067
10,11,16178736517.719568
10,93,-8333851169.825748
10,94,-244482910.96596307
10,95,8089368258.859784
11,10,16764590034.526138
11,11,-32943326552.245712
11,12,16178736517.719568
11,94,-8382295017.263069
11,95,-292926758.4032852
11,96,8089368258.859784
12,11,16727839638.716114
12,12,-32906576156.435684
12,13,16178736517.719568
12,95,-8363919819.358057
12,96,-274551560.49827373
12,97,8089368258.859784
13,12,16160147036.670155
13,13,-32338883554.389725
13,14,16178736517.719568
13,96,-8080073518.335077
13,97,9294740.524705887
13,98,8089368258.859784
14,13,16113234376.49804
14,14,-32291970894.2176
14,15,16178736517.719568
14,97,-8056617188.24902
14,98,32751070.610765535
14,99,8089368258.859784
15,14,16210950259.895607
15,15,-32389686777.615173
15,16,16178736517.719568
15,98,-8105475129.9478035
15,99,-16106871.088018168
15,100,8089368258.859784
16,15,16196087697.049608
16,16,-32374824214.769173
16,17,16178736517.719568
16,99,-8098043848.524804
16,100,-8675589.66501988
16,101,8089368258.859784
17,16,16049417988.936014
17,17,-32228154506.65558
17,18,16178736517.719568
17,100,-8024708994.468007
17,101,64659264.391777344
17,102,8089368258.859784
18,17,15847023355.997904
18,18,-32025759873.717472
18,19,16178736517.719568
18,101,-7923511677.998952
18,102,165856580.86083212
18,103,8089368258.859784
19,18,15800762729.409939
19,19,-31979499247.12951
19,20,16178736517.719568
19,102,-7900381364.704969
19,103,188986894.15481433
19,104,8089368258.859784
20,19,15989702061.775965
20,20,-32168438579.495533
20,21,16178736517.719568
20,103,-7994851030.887982
20,104,94517227.97180237
20,105,8089368258.859784
21,20,16159554616.1614
21,21,-32338291133.88097
21,22,16178736517.719568
21,104,-8079777308.0807
21,105,9590950.779083693
21,106,8089368258.859784
22,21,16161960433.875614
22,22,-32340696951.59518
22,23,16178736517.719568
22,105,-8080980216.937807
22,106,8388041.921977947
22,107,8089368258.859784
23,22,16172745169.790956
23,23,-32351481687.51053
23,24,16178736517.719568
23,106,-8086372584.895478
23,107,2995673.9643053836
23,108,8089368258.859784
24,23,16215950390.460154
24,24,-32394686908.179718
24,25,16178736517.719568
24,107,-8107975195.230077
24,108,-18606936.370293085
24,109,8089368258.859784
25,24,15949645247.637093
25,25,-32128381765.356663
25,26,16178736517.719568
25,108,-7974822623.818546
25,109,114545635.04123707
25,110,8089368258.859784
26,25,15544055164.123104
26,26,-31722791681.842674
26,27,16178736517.719568
26,109,-7772027582.061552
26,110,317340676.7982327
26,111,8089368258.859784
27,26,15857821114.559078
27,27,-32036557632.278645
27,28,16178736517.719568
27,110,-7928910557.279539
27,111,160457701.5802455
27,112,8089368258.859784
28,27,15961313614.506258
28,28,-32140050132.225826
28,29,16178736517.719568
28,111,-7980656807.253129
28,112,108711451.6066546
28,113,8089368258.859784
29,28,15747780521.479143
29,29,-31926517039.19871
29,30,16178736517.719568
29,112,-7873890260.739572
29,113,215477998.1202126
29,114,8089368258.859784
30,29,15798165327.246675
30,30,-31976901844.966244
30,31,16178736517.719568
30,113,-7899082663.623338
30,114,190285595.23644662
30,115,8089368258.859784
31,30,16058515140.856215
31,31,-32237251658.575783
31,32,16178736517.719568
31,114,-8029257570.428107
31,115,60110688.43167741
31,116,8089368258.859784
32,31,15854692154.381084
32,32,-32033428672.10065
32,33,16178736517.719568
32,115,-7927346077.190542
32,116,162022181.66924223
32,117,8089368258.859784
33,32,15673123398.521006
33,33,-31851859916.240578
33,34,16178736517.719568
33,116,-7836561699.260503
33,117,252806559.59928006
33,118,8089368258.859784
34,33,15967842765.371548
34,34,-32146579283.091114
34,35,16178736517.719568
34,117,-7983921382.685774
34,118,105446876.17401029
34,119,8089368258.859784
35,34,15827248877.250406
35,35,-32005985394.969975
35,36,16178736517.719568
35,118,-7913624438.625203
35,119,175743820.2345814
35,120,8089368258.859784
36,35,15729203963.536957
36,36,-31907940481.256523
36,37,16178736517.719568
36,119,-7864601981.768478
36,120,224766277.0913061
36,121,8089368258.859784
37,36,15937227383.872126
37,37,-32115963901.591694
37,38,16178736517.719568
37,120,-7968613691.936063
37,121,120754566.92372139
37,122,8089368258.859784
38,37,16070611729.935907
38,38,-32249348247.655476
38,39,16178736517.719568
38,121,-8035305864.967954
38,122,54062393.8918305
38,123,8089368258.859784
39,38,15709126192.130753
39,39,-31887862709.850323
39,40,16178736517.719568
39,122,-7854563096.065376
39,123,234805162.79440692
39,124,8089368258.859784
40,39,15666836043.731403
40,40,-31845572561.450974
40,41,16178736517.719568
40,123,-7833418021.865702
40,124,255950236.99408183
